year,variable,decile,Argentina,Bolivia,Brazil,Chile,Colombia,Dominican R.,Honduras,Mexico,Peru,Uruguay
2018,inc_dist_cedlas,1,0.0177,0.0140,0.0097,0.0220,0.0135,0.0239,0.0114,0.0180,0.0177,0.0227
2018,inc_dist_cedlas,2,0.0321,0.0306,0.0215,0.0348,0.0262,0.0370,0.0224,0.0311,0.0321,0.0359
2018,inc_dist_cedlas,3,0.0437,0.0438,0.0311,0.0438,0.0356,0.0459,0.0337,0.0410,0.0441,0.0468
2018,inc_dist_cedlas,4,0.0556,0.0560,0.0415,0.0525,0.0453,0.0545,0.0462,0.0504,0.0558,0.0577
2018,inc_dist_cedlas,5,0.0688,0.0685,0.0531,0.0620,0.0564,0.0642,0.0598,0.0605,0.0679,0.0697
2018,inc_dist_cedlas,6,0.0845,0.0831,0.0672,0.0734,0.0698,0.0763,0.0749,0.0726,0.0816,0.0835
2018,inc_dist_cedlas,7,0.1025,0.1016,0.0839,0.0879,0.0869,0.0914,0.0956,0.0884,0.0990,0.1005
2018,inc_dist_cedlas,8,0.1272,0.1276,0.1090,0.1099,0.1120,0.1121,0.1254,0.1119,0.1229,0.1241
2018,inc_dist_cedlas,9,0.1672,0.1688,0.1585,0.1526,0.1576,0.1477,0.1773,0.1554,0.1626,0.1622
2018,inc_dist_cedlas,10,0.3007,0.3059,0.4246,0.3612,0.3966,0.3470,0.3534,0.3706,0.3162,0.2968
2018,pit_incid_lacir,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000
2018,pit_incid_lacir,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0030,0.0000,0.0000
2018,pit_incid_lacir,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0060,0.0000,0.0000
2018,pit_incid_lacir,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0080,0.0000,0.0010
2018,pit_incid_lacir,5,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0110,0.0000,0.0030
2018,pit_incid_lacir,6,0.0030,0.0000,0.0010,0.0010,0.0000,0.0000,0.0000,0.0140,0.0000,0.0060
2018,pit_incid_lacir,7,0.0040,0.0000,0.0020,0.0020,0.0000,0.0020,0.0000,0.0180,0.0020,0.0110
2018,pit_incid_lacir,8,0.0070,0.0000,0.0050,0.0030,0.0000,0.0050,0.0000,0.0220,0.0050,0.0200
2018,pit_incid_lacir,9,0.0120,0.0010,0.0140,0.0050,0.0000,0.0100,0.0050,0.0290,0.0090,0.0340
2018,pit_incid_lacir,10,0.0430,0.0050,0.0520,0.0310,0.0300,0.0240,0.0440,0.0560,0.0480,0.0920
2018,pit_rev_gdp_pct,total,0.0200,0.0020,0.0280,0.0140,0.0120,0.0120,0.0200,0.0330,0.0180,0.0390
